"","tradetopicscore"
"971",12414
"972",9450
"973",3122
"974",3656
"975",12367
"976",10753
"977",5145
"978",2208
"979",11137
"980",11337
"981",5225
"982",7415
"983",10162
"984",11547
"985",9180
"986",3713
"987",1754
"988",4960
"989",11323
"990",9984
"991",10314
"992",6454
"993",10902
"994",2436
"995",2680
"996",1353
"997",10440
"998",6232
"999",8298
"1000",9321
"1001",28
"1002",10879
"1003",5394
"1004",10070
"1005",9368
"1006",6508
"1007",9095
"1008",1036
"1009",11438
"1010",7867
"1011",9448
"1012",12415
"1013",11348
"1014",432
"1015",11933
"1016",9674
"1017",3044
"1018",11818
"1019",11555
"1020",4265
"1021",3008
"1022",7870
"1023",7464
"1024",5636
"1025",11065
"1026",716
"1027",10374
"1028",1280
"1029",6660
"1030",5084
"1031",5700
"1032",3087
"1033",1219
"1034",11197
"1035",2671
"1036",12238
"1037",3633
"1038",9595
"1039",11613
"1040",9338
"1041",8728
"1042",4300
"1043",3720
"1044",1609
"1045",11567
"1046",238
"1047",3545
"1048",9274
"1049",7017
"1050",5642
"1051",3267
"1052",12138
"1053",7711
"1054",4958
"1055",1999
"1056",11080
"1057",11979
"1058",12303
"1059",4194
"1060",8588
"1061",9198
"1062",5271
"1063",142
"1064",1807
"1065",4815
"1066",2186
"1067",7331
"1068",4658
"1069",4339
"1070",2382
"1071",2537
"1072",9403
"1073",3033
"1074",5008
"1075",11721
"1076",2585
"1077",1799
"1078",10955
"1079",11981
"1080",415
"1081",9725
"1082",2708
"1083",2966
"1084",10675
"1085",5589
"1086",8209
"1087",2712
"1088",11237
"1089",9761
"1090",337
"1091",8456
"1092",6372
"1093",12053
"1094",1856
"1095",4008
"1096",9645
"1097",10676
"1098",9642
"1099",9866
"1100",7087
"1101",4403
"1102",8936
"1103",8341
"1104",1303
"1105",3100
"1106",11016
"1107",11544
"1108",8177
"1109",527
"1110",6958
"1111",3303
"1112",8258
"1113",1761
"1114",9353
"1115",6765
"1116",10942
"1117",8350
"1118",1571
"1119",3909
"1120",5595
"1121",2872
"1122",8596
"1123",6862
"1124",10766
"1125",7826
"1126",10933
"1127",7778
"1128",2220
"1129",11858
"1130",2922
"1131",5928
"1132",10382
"1133",9664
"1134",2709
"1135",6290
"1136",2069
"1137",3803
"1138",5501
"1139",9114
"1140",8273
"1141",1566
"1142",11674
"1143",4173
"1144",10412
"1145",4691
"1146",10240
"1147",11842
"1148",6304
"1149",5716
"1150",5987
"1151",4986
"1152",2886
"1153",9083
"1154",4292
"1155",8602
"1156",5762
"1157",2308
"1158",4692
"1159",916
"1160",9063
"1161",7158
"1162",6205
"1163",9475
"1164",2230
"1165",8172
"1166",12427
"1167",10447
"1168",12299
"1169",2354
"1170",10491
"1171",9498
"1172",2048
"1173",5943
"1174",10067
"1175",7093
"1176",2589
"1177",4650
"1178",1254
"1179",5227
"1180",8629
"1181",1691
"1182",7586
"1183",4191
"1184",3332
"1185",8618
"1186",11804
"1187",10967
"1188",7056
"1189",6994
"1190",9115
"1191",9671
"1192",5522
"1193",201
"1194",2363
"1195",8399
"1196",7635
"1197",6807
"1198",2278
"1199",12145
"1200",1481
"1201",10417
"1202",4168
"1203",11860
"1204",682
"1205",951
"1206",10000
"1207",9453
"1208",11007
"1209",529
"1210",10712
"1211",9633
"1212",2541
"1213",503
"1214",2171
"1215",2516
"1216",2479
"1217",10982
"1218",3653
"1219",9952
"1220",10369
"1221",12177
"1222",10629
"1223",1442
"1224",1213
"1225",4746
"1226",6522
"1227",11845
"1228",8060
"1229",3620
"1230",11443
"1231",10032
"1232",4458
"1233",4126
"1234",11133
"1235",11194
"1236",484
"1237",9806
"1238",6276
"1239",9858
"1240",12405
"1241",2603
"1242",9800
"1243",8190
"1244",8937
"1245",1382
"1246",2910
"1247",10340
"1248",10908
"1249",1297
"1250",4493
"1251",11806
"1252",1696
"1253",2419
"1254",11909
"1255",12387
"1256",10349
"1257",7180
"1258",6937
"1259",1441
"1260",2135
"1261",1309
"1262",6444
"1263",7843
"1264",9176
"1265",8536
"1266",12464
"1267",1122
"1268",10377
"1269",12129
"1270",4787
"1271",7345
"1272",5038
"1273",9134
"1274",9470
"1275",7821
"1276",468
