"","x"
"183",2.9882254
"184",19.8992203
"185",0.9973144
"186",6.9734158
"187",1.9922919
"188",1.990911
"189",0.9985411
"190",10.9565012
"191",7.9661015
"192",6.970646
"193",8.9715591
"194",11.9551929
"195",8.9689123
"196",2.9845447
"197",15.9366089
"198",7.9658484
"199",8.962505
"200",5.9751043
"201",7.9686627
"202",13.954012
"203",5.9764879
"204",15.9432213
"205",9.9629757
"206",0.9937508
"207",10.9575203
"208",9.9657455
"209",8.9712009
"210",6.9793419
"211",8.9647133
"212",7.9729385
"213",2.9922212
"214",5.9820275
"215",18.9349246
"216",0
"217",0
"218",6.9765721
"219",7.9711167
"220",15.9325122
"221",16.9298266
"222",15.9360758
"223",17.9262564
"224",19.9230221
"225",14.9398899
"226",2.9900843
"227",9.9605406
"228",8.965996
"229",0.9985407
"230",22.9204685
"231",1.9922915
"232",0
"233",0.9937508
"234",0.9973144
"235",1.9928439
"236",0
"237",2.9873609
"238",16.9453218
"239",14.9414091
"240",7.9836942
"241",12.9539873
"242",7.9762948
"243",8.970701
"244",0.995069
"245",25.9689618
"246",3.9872354
"247",0.9954555
"248",0.9958137
"249",8.976143
"250",2.9913693
"251",0.9937508
"252",3.9941628
"253",3.9898992
"254",3.9941628
"255",0
"256",21.9361619
"257",24.9376507
"258",3.9839955
"259",1.9981862
"260",4.9938083
"261",12.9644622
"262",2.9868361
"263",9.9623441
"264",0
"265",2.9883796
"266",27.9152664
"267",1.9962504
"268",0.998936
"269",0.9990931
"270",0
"271",4.9841982
"272",1.9946288
"273",11.9511556
"274",3.9891774
"275",2.9955006
"276",2.9856098
"277",15.9369701
"278",1.9910652
"279",0.9937508
"280",0.998936
"281",5.9802426
"282",0
"283",0.9954555
"284",0.9985411
"285",2.984816
"286",7.9801306
"287",0
"288",29.9078214
"289",28.8574149
"290",5.9734312
"291",0
"292",17.9309442
"293",4.9764377
"294",4.9807951
"295",3.9838351
"296",6.9777988
"297",0
"298",2.981874
"299",10.9768539
"300",3.9843142
"301",13.943895
"302",13.9601392
"303",7.9720358
"304",68.8248711
"305",24.962621
"306",0.9954555
"307",6.9720096
"308",1.9970822
"309",10.9672846
"310",34.8945268
"311",15.9575255
"312",9.9621194
"313",10.9531539
"314",50.7990558
"315",3.9804096
"316",1.990138
"317",9.9497107
"318",7.9752018
"319",0.998936
"320",15.9493625
"321",18.9358961
"322",12.9568931
"323",0.9937508
"324",3.9849272
"325",21.9540429
"326",0.9990931
"327",7.974392
"328",0
"329",1.9921197
"330",1.990138
"331",4.9740268
"332",0
"333",0
"334",0.995069
"335",1.9970822
"336",3.9819582
"337",1.9916274
"338",9.9683882
"339",0.9945446
"340",0
"341",0
"342",0.9945446
"343",1.9976342
"344",0.995069
"345",0
"346",2.9961745
"347",0
"348",6.9849958
"349",1.9958551
"350",0
"351",16.9540047
"352",0
"353",0
"354",1.9970814
"355",5.9758182
"356",0
"357",1.9958551
"358",2.9856098
"359",2.9919432
"360",4.9843266
"361",1.9936377
"362",9.965588
"363",0.9954555
"364",2.9967273
"365",0
"366",0
"367",5.983708
"368",11.9824932
"369",0
"370",1.9910652
"371",0
"372",0.9945446
"373",1.9910652
"374",6.9846516
"375",3.9898601
"376",0
"377",0.9973144
"378",4.9782535
"379",0.9973144
"380",8.9789236
"381",3.9752804
"382",5.9797759
"383",0.9935786
"384",8.9789236
"385",9.9780167
"386",0
"387",6.9826732
"388",2.9918029
"389",6.9826732
"390",0.998936
"391",11.9557868
"392",3.9889513
"393",4.9834858
"394",1.9925438
"395",1.9946288
"396",1.9925438
"397",8.9755447
"398",1.9925438
"399",0.9937508
"400",1.9976342
"401",0.9974748
"402",0
"403",0
"404",0
"405",5.977047
"406",0
"407",3.9893729
"408",0.9985407
"409",19.9462206
"410",0.9937508
"411",8.9731206
"412",4.9898978
"413",3.9938846
"414",2.9972793
"415",1.9936097
"416",5.9742619
"417",0
"418",1.9922915
"419",0
"420",2.9908322
"421",10.9516265
"422",3.9835607
"423",0.9985407
"424",1.9943544
"425",4.9815077
"426",0
"427",0
"428",7.9812168
"429",26.9309779
"430",0
"431",0.9937508
"432",1.9928439
"433",0.9958137
"434",0.9985407
"435",2.9874411
"436",3.9910301
"437",6.9715916
"438",4.9870572
"439",1.9921193
"440",4.968754
"441",3.9750032
"442",0
"443",0
"444",0.9937508
"445",19.9592658
"446",0
"447",1.9875016
"448",1.9875016
"449",0
"450",1.9980291
"451",1.9875016
"452",2.9812524
"453",0
"454",4.9895712
"455",10.966886
"456",2.9881543
"457",5.9911231
"458",2.9829571
"459",3.9864536
"460",0.9990931
"461",0
"462",0
"463",0
"464",0
"465",1.9926868
"466",4.9752486
"467",0.9985407
"468",0
"469",1.9943544
"470",9.9794712
"471",6.9738141
"472",0.9985411
"473",5.9837293
"474",2.9836338
"475",0.9937508
"476",3.981856
"477",13.9625028
"478",34.8795691
"479",241.4460144
"480",37.8365247
"481",2.9812524
"482",6.9773898
"483",10.9500759
"484",7.9539754
"485",55.7678994
"486",15.9371643
"487",6.9770086
"488",7.9734888
"489",1.9890892
"490",0
"491",3.9781784
"492",4.9737718
"493",1.9962504
"494",5.9880387
"495",5.9669042
"496",0
"497",6.9788635
"498",0.9937508
"499",10.9606879
"500",13.9585833
"501",8.9621216
"502",0.9954555
"503",11.9650734
"504",51.854886
"505",1.9875016
"506",56.8640484
"507",15.9458787
"508",25.9190067
"509",1.9939966
"510",13.9708722
"511",6.9599089
"512",1.9927699
"513",5.9735164
"514",0
"515",5.9653643
"516",41.8634564
"517",0.9985407
